date,101.5 a více,Méně než 101.5
2022-08-15,2.18,1.645
2022-08-16,2.52,1.45
2022-08-17,2.52,1.45
2022-08-18,2.52,1.45
2022-08-19,2.52,1.45
2022-08-20,2.52,1.45
2022-08-21,2.52,1.45
2022-08-22,2.52,1.45
2022-08-23,2.45,1.475
2022-08-24,2.27,1.55
2022-08-25,2.16,1.6
2022-08-26,2.16,1.6
2022-08-27,2.16,1.6
2022-08-28,2.16,1.6
2022-08-29,2.085,1.65
2022-08-30,1.75,1.9449999999999998
2022-08-31,2.135,1.625
2022-09-01,2.3899999999999997,1.5
2022-09-02,2.68,1.4
2022-09-03,2.68,1.4
2022-09-04,2.68,1.4
2022-09-05,2.38,1.525
2022-09-06,2.08,1.65
2022-09-07,2.42,1.5
