date,Ano,Ne
2022-11-27,30.0,1.0
2022-11-28,30.0,1.0
2022-11-29,30.0,1.0
2022-11-30,30.0,1.0
2022-12-01,30.0,1.0
2022-12-02,30.0,1.0
2022-12-05,30.0,1.0
2022-12-06,30.0,1.0
2022-12-07,30.0,1.0
2022-12-08,30.0,1.0
2022-12-09,30.0,1.0
2022-12-10,30.0,1.0
2022-12-11,30.0,1.0
2022-12-12,30.0,1.0
2022-12-13,30.0,1.0
2022-12-14,30.0,1.0
2022-12-15,30.0,1.0
2022-12-16,30.0,1.0
2022-12-17,30.0,1.0
2022-12-18,30.0,1.0
2022-12-19,40.0,1.0
2022-12-20,40.0,1.0
2022-12-21,45.0,1.0
2022-12-22,50.0,1.0
2022-12-23,50.0,1.0
