date,Babiš Andrej,Nerudová Danuše
2022-12-11,1.4,2.68
2022-12-12,1.4,2.68
2022-12-13,1.4,2.68
2022-12-14,1.4,2.68
2022-12-15,1.4,2.68
2022-12-16,1.4,2.68
2022-12-17,1.4,2.68
2022-12-18,1.45,2.52
2022-12-19,1.5,2.38
2022-12-20,1.4,2.68
2022-12-21,1.3599999999999999,2.8600000000000003
2022-12-22,1.32,3.04
2022-12-23,1.32,3.04
2022-12-24,1.32,3.04
2022-12-25,1.32,3.04
2022-12-26,1.32,3.04
2022-12-27,1.32,3.04
2022-12-28,1.32,3.04
2022-12-29,1.32,3.04
2022-12-30,1.32,3.04
2022-12-31,1.3,3.15
2023-01-01,1.3,3.15
2023-01-02,1.3,3.15
2023-01-03,1.25,3.48
2023-01-04,1.3,3.15
2023-01-05,1.3,3.15
2023-01-06,1.25,3.48
2023-01-07,1.25,3.48
2023-01-08,1.25,3.48
2023-01-09,1.1175,5.345
