date,Fischer Pavel,Hilšer Marek
2022-12-11,1.45,2.52
2022-12-12,1.45,2.52
2022-12-13,1.45,2.52
2022-12-14,1.45,2.52
2022-12-15,1.45,2.52
2022-12-16,1.45,2.52
2022-12-17,1.45,2.52
2022-12-18,1.4,2.68
2022-12-19,1.4,2.68
2022-12-20,1.23,3.65
2022-12-21,1.2650000000000001,3.4
2022-12-22,1.3,3.15
2022-12-23,1.3,3.15
2022-12-24,1.3,3.15
2022-12-25,1.3,3.15
2022-12-26,1.33,3.0
2022-12-27,1.33,3.0
2022-12-28,1.33,3.0
2022-12-29,1.33,3.0
2022-12-30,1.33,3.0
2022-12-31,1.33,3.0
2023-01-01,1.33,3.0
2023-01-02,1.415,2.69
2023-01-03,1.5,2.38
2023-01-04,1.6,2.16
2023-01-05,1.5,2.38
2023-01-06,1.4,2.68
2023-01-07,1.4,2.68
