date,Avatar: The Way of Water,Elvis,Fabelmanovi,Na západní frontě klid,Top Gun: Maverick,Trojúhelník smutku,Tár,Víly z Inisherinu,"Všechno, všude, najednou",Women Talking
2023-01-31,70.0,80.0,15.0,30.0,12.0,100.0,40.0,3.5,1.4,90.0
2023-02-01,70.0,80.0,15.0,30.0,12.0,100.0,40.0,3.5,1.4,90.0
2023-02-02,70.0,80.0,15.0,30.0,12.0,100.0,40.0,3.5,1.4,90.0
2023-02-04,70.0,80.0,8.0,35.0,15.0,100.0,30.0,3.7,1.4,90.0
2023-02-07,70.0,80.0,7.0,35.0,15.0,100.0,30.0,4.0,1.45,90.0
2023-02-08,70.0,80.0,7.0,30.0,15.0,100.0,25.0,4.2,1.4,90.0
2023-02-09,70.0,80.0,7.0,30.0,15.0,100.0,25.0,4.2,1.4,90.0
2023-02-10,70.0,80.0,7.0,30.0,15.0,100.0,25.0,4.2,1.4,90.0
2023-02-14,70.0,80.0,7.0,30.0,15.0,100.0,25.0,4.5,1.42,90.0
2023-02-15,70.0,80.0,7.0,30.0,15.0,100.0,25.0,4.35,1.435,90.0
2023-02-17,70.0,80.0,9.0,30.0,15.0,100.0,25.0,3.75,1.45,90.0
2023-02-19,60.0,80.0,8.0,40.0,11.0,100.0,25.0,3.5,1.5,90.0
2023-02-20,60.0,80.0,13.0,7.0,15.0,120.0,30.0,5.0,1.5,100.0
2023-02-21,60.0,80.0,13.0,7.0,15.0,120.0,30.0,5.0,1.5,100.0
