date,Autner Richard,Cimarro Mario,Farkašová Henrieta,Gáborík Marián,Ibara Victor,Kovalčíková Jana,Kovalčíková Janka,Krajčiová Helena,Marcinková Gabriela,Sirági Vratko,Valábik Boris,Zimnýkoval Milan,Čírová Mária
2023-03-12,6.0,14.0,4.75,16.0,14.0,,4.75,4.5,4.5,,30.0,10.0,12.0
2023-03-14,4.75,18.0,4.5,16.0,,,7.0,4.0,3.5,,40.0,12.0,20.0
2023-03-16,4.75,18.0,4.5,16.0,,,7.0,4.0,3.5,,40.0,12.0,20.0
2023-03-17,4.75,23.0,4.0,16.0,,,7.0,4.0,3.75,,45.0,12.0,25.0
2023-03-18,4.75,23.0,3.9,16.0,,,7.0,4.5,3.75,,45.0,13.0,
2023-03-21,6.0,30.0,6.5,20.0,,9.0,,3.8,3.25,4.5,50.0,,
2023-03-22,6.0,30.0,6.5,20.0,,9.0,,3.8,3.25,4.5,50.0,,
2023-03-23,6.0,30.0,6.5,20.0,,9.0,,3.8,3.25,4.5,50.0,,
2023-03-24,6.0,35.0,10.0,25.0,,10.0,,3.5,3.0,4.5,50.0,,
2023-03-26,6.0,35.0,10.0,25.0,,11.0,,3.6,3.0,4.5,50.0,,
2023-03-28,4.0,35.0,10.0,20.0,,8.0,,,2.5,3.6,50.0,,
