date,title,odds,date_bet,identifier
2017-07-13T06:02:02.462138,v roce 2017 - ANO,5.00,31.07.2017 23:59,1
2017-07-13T06:02:02.462138,v roce 2017 - NE,1.15,31.07.2017 23:59,3
2017-07-14T06:02:02.507400,v roce 2017 - ANO,5.00,31.07.2017 23:59,1
2017-07-14T06:02:02.507400,v roce 2017 - NE,1.15,31.07.2017 23:59,3
2017-07-19T10:01:08.831844,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-19T10:01:08.831844,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-20T09:50:28.638800,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-20T09:50:28.638800,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-21T06:47:37.835354,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-21T06:47:37.835354,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-23T19:08:37.161252,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-23T19:08:37.161252,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-24T06:02:02.646175,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-24T06:02:02.646175,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-24T16:22:31.284542,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-24T16:22:31.284542,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-25T06:02:02.984889,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-25T06:02:02.984889,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-26T03:18:49.441703,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-26T03:18:49.441703,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-26T06:02:02.516074,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-26T06:02:02.516074,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-26T18:02:02.790388,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-26T18:02:02.790388,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-27T06:02:02.503893,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-27T06:02:02.503893,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-27T18:02:02.962077,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-27T18:02:02.962077,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-28T06:02:02.914107,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-28T06:02:02.914107,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-28T18:02:02.530904,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-28T18:02:02.530904,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-29T06:02:03.034688,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-29T06:02:03.034688,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-29T18:02:02.779610,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-29T18:02:02.779610,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-30T06:02:02.160063,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-30T06:02:02.160063,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-30T18:02:02.934873,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-30T18:02:02.934873,v roce 2017 - NE,1.10,31.07.2017 23:59,3
2017-07-31T06:02:02.267566,v roce 2017 - ANO,6.00,31.07.2017 23:59,1
2017-07-31T06:02:02.267566,v roce 2017 - NE,1.10,31.07.2017 23:59,3
