date,title,odds,date_bet,identifier
2017-08-11T10:03:01.911515,A.Babiše i J.Faltýnka,1.10,13.08.2017 23:59,1
2017-08-11T10:03:01.911515,pouze Andreje Babiše,10.00,13.08.2017 23:59,3
2017-08-11T10:03:01.911515,pouze Jaroslava Faltýnka,10.00,13.08.2017 23:59,4
2017-08-11T10:03:01.911515,ani jednoho (Babiš + Faltýnek),20.00,13.08.2017 23:59,5
2017-08-11T22:03:02.026933,A.Babiše i J.Faltýnka,1.10,13.08.2017 23:59,1
2017-08-11T22:03:02.026933,pouze Andreje Babiše,10.00,13.08.2017 23:59,3
2017-08-11T22:03:02.026933,pouze Jaroslava Faltýnka,10.00,13.08.2017 23:59,4
2017-08-11T22:03:02.026933,ani jednoho (Babiš + Faltýnek),20.00,13.08.2017 23:59,5
2017-08-12T10:03:01.871636,A.Babiše i J.Faltýnka,1.10,13.08.2017 23:59,1
2017-08-12T10:03:01.871636,pouze Andreje Babiše,10.00,13.08.2017 23:59,3
2017-08-12T10:03:01.871636,pouze Jaroslava Faltýnka,10.00,13.08.2017 23:59,4
2017-08-12T10:03:01.871636,ani jednoho (Babiš + Faltýnek),20.00,13.08.2017 23:59,5
2017-08-12T22:03:02.126699,A.Babiše i J.Faltýnka,1.10,13.08.2017 23:59,1
2017-08-12T22:03:02.126699,pouze Andreje Babiše,10.00,13.08.2017 23:59,3
2017-08-12T22:03:02.126699,pouze Jaroslava Faltýnka,10.00,13.08.2017 23:59,4
2017-08-12T22:03:02.126699,ani jednoho (Babiš + Faltýnek),20.00,13.08.2017 23:59,5
2017-08-13T10:03:01.835083,A.Babiše i J.Faltýnka,1.10,13.08.2017 23:59,1
2017-08-13T10:03:01.835083,pouze Andreje Babiše,10.00,13.08.2017 23:59,3
2017-08-13T10:03:01.835083,pouze Jaroslava Faltýnka,10.00,13.08.2017 23:59,4
2017-08-13T10:03:01.835083,ani jednoho (Babiš + Faltýnek),20.00,13.08.2017 23:59,5
2017-08-13T22:03:01.520176,A.Babiše i J.Faltýnka,1.10,16.08.2017 12:00,1
2017-08-13T22:03:01.520176,pouze Andreje Babiše,10.00,16.08.2017 12:00,3
2017-08-13T22:03:01.520176,pouze Jaroslava Faltýnka,10.00,16.08.2017 12:00,4
2017-08-13T22:03:01.520176,ani jednoho (Babiš + Faltýnek),20.00,16.08.2017 12:00,5
2017-08-14T10:03:03.904805,A.Babiše i J.Faltýnka,1.10,16.08.2017 12:00,1
2017-08-14T10:03:03.904805,pouze Andreje Babiše,10.00,16.08.2017 12:00,3
2017-08-14T10:03:03.904805,pouze Jaroslava Faltýnka,10.00,16.08.2017 12:00,4
2017-08-14T10:03:03.904805,ani jednoho (Babiš + Faltýnek),20.00,16.08.2017 12:00,5
2017-08-14T22:03:02.412693,A.Babiše i J.Faltýnka,1.10,16.08.2017 12:00,1
2017-08-14T22:03:02.412693,pouze Andreje Babiše,10.00,16.08.2017 12:00,3
2017-08-14T22:03:02.412693,pouze Jaroslava Faltýnka,10.00,16.08.2017 12:00,4
2017-08-14T22:03:02.412693,ani jednoho (Babiš + Faltýnek),20.00,16.08.2017 12:00,5
2017-08-15T10:03:01.894693,A.Babiše i J.Faltýnka,1.10,16.08.2017 12:00,1
2017-08-15T10:03:01.894693,pouze Andreje Babiše,15.00,16.08.2017 12:00,3
2017-08-15T10:03:01.894693,pouze Jaroslava Faltýnka,15.00,16.08.2017 12:00,4
2017-08-15T10:03:01.894693,ani jednoho (Babiš + Faltýnek),15.00,16.08.2017 12:00,5
2017-08-15T22:03:02.460356,A.Babiše i J.Faltýnka,1.15,16.08.2017 12:00,1
2017-08-15T22:03:02.460356,pouze Andreje Babiše,15.00,16.08.2017 12:00,3
2017-08-15T22:03:02.460356,pouze Jaroslava Faltýnka,15.00,16.08.2017 12:00,4
2017-08-15T22:03:02.460356,ani jednoho (Babiš + Faltýnek),10.00,16.08.2017 12:00,5
