date,Vítěz Ano/Ne - De Bruyne Kevin: Ano,Vítěz Ano/Ne - De Bruyne Kevin: Ne,Vítěz Ano/Ne - Haaland Erling: Ano,Vítěz Ano/Ne - Haaland Erling: Ne,Vítěz Ano/Ne - Messi Lionel: Ano,Vítěz Ano/Ne - Messi Lionel: Ne
2023-08-04,40.0,1.0,3.65,1.21,1.22,3.58
2023-08-05,40.0,1.0,3.65,1.21,1.22,3.58
2023-08-06,40.0,1.0,3.65,1.21,1.22,3.58
2023-08-07,40.0,1.0,3.65,1.21,1.22,3.58
2023-08-09,45.0,1.0,3.75,1.2,1.21,3.675
2023-08-10,55.0,1.0,4.2,1.16,1.17,4.1
2023-08-11,55.0,1.0,4.2,1.16,1.17,4.1
2023-08-12,55.0,1.0,4.2,1.16,1.17,4.1
2023-08-13,55.0,1.0,4.2,1.16,1.17,4.1
2023-08-14,57.5,1.0,4.2,1.16,1.17,4.1
2023-08-15,60.0,1.0,4.2,1.16,1.17,4.1
2023-08-16,60.0,1.0,4.2,1.16,1.17,4.1
2023-08-18,60.0,1.0,4.2,1.16,1.17,4.1
2023-08-19,60.0,1.0,4.2,1.16,1.17,4.1
2023-08-21,60.0,1.0,4.35,1.15,1.16,4.22
2023-08-22,60.0,1.0,4.4,1.15,1.15,4.36
2023-08-23,60.0,1.0,4.4,1.15,1.15,4.36
2023-08-24,60.0,1.0,4.4,1.15,1.15,4.36
2023-08-27,100.0,1.0,4.9,1.12,1.12,4.85
2023-08-28,100.0,1.0,4.9,1.12,1.12,4.85
2023-08-29,100.0,1.0,4.9,1.12,1.12,4.85
2023-08-30,100.0,1.0,4.9,1.12,1.12,4.85
2023-08-31,100.0,1.0,4.9,1.12,1.12,4.85
