date,Blunt Emily,Brooks Danielle,Ferrera America,Fosler Jodie,Randolph Da'Vine Joy
2024-01-28,12.0,11.0,17.0,20.0,1.05
2024-01-29,12.0,11.0,17.0,20.0,1.05
2024-01-30,12.0,11.0,18.0,23.333333333333332,1.05
2024-01-31,12.0,11.0,20.0,30.0,1.05
2024-02-01,12.0,11.0,20.0,30.0,1.05
2024-02-02,12.0,11.0,20.0,30.0,1.05
2024-02-03,12.0,11.0,20.0,30.0,1.05
2024-02-04,12.0,11.0,20.0,30.0,1.05
2024-02-05,12.0,11.0,20.0,30.0,1.05
2024-02-06,12.0,11.0,20.0,30.0,1.05
2024-02-07,12.0,11.0,20.0,30.0,1.05
2024-02-08,12.0,11.0,20.0,30.0,1.05
2024-02-09,12.0,11.0,20.0,30.0,1.05
2024-02-10,12.0,11.0,20.0,30.0,1.05
